Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT),Barometer (hPa)
1.139469624,77.85693,-2.347739,121.3023,0.6530608,0.8294824,0.1154655,-16.71504,-0.8061171,-22.36856,1029.468
1.159636974,59.70461,29.79831,150.1662,0.5399311,0.7806541,0.06922146,-16.71504,-0.8061171,-22.36856,1029.468
1.179804802,18.58405,40.67389,137.7785,0.5616151,0.6894522,0.03837118,-21.55423,-6.569572,-23.43065,1029.468
1.199972153,-61.18735,47.40353,140.7076,0.6297436,0.7257084,0.04175434,-21.55423,-6.569572,-23.43065,1029.468
1.220139980,-150.8993,36.58804,165.361,0.7040622,0.7359934,-0.06976654,-24.56053,-9.665794,-24.87243,1029.468
1.240307808,-163.5565,26.49358,181.8372,0.6340808,0.6492371,-0.1331102,-24.56053,-9.665794,-24.87243,1029.468
1.260475159,-103.8515,44.57948,167.2527,0.6036243,0.6376971,-0.1546758,-26.46693,-8.51933,-28.03243,1029.468
1.280642986,-37.4782,96.19341,154.3158,0.5931605,0.5490376,-0.06202988,-26.46693,-8.51933,-28.03243,1029.468
1.300809860,0.7404513,170.7602,155.4142,0.6691031,0.4705173,0.1024942,-26.46693,-8.51933,-28.03243,1029.466
1.320978165,33.52576,226.3398,179.8845,0.6923499,0.3960685,0.1014434,-27.0065,-2.799515,-29.76157,1029.466
1.341145992,83.66073,253.7992,179.6404,0.4454393,0.38464,0.1989424,-27.0065,-2.799515,-29.76157,1029.466
1.361312866,77.36299,292.3745,175.2467,0.3039097,0.2035241,0.2950244,-25.49545,0.002904177,-35.07941,1029.466
1.378959656,40.87312,317.6707,176.5282,0.2973037,0.05014371,0.4475749,-25.49545,0.002904177,-35.07941,1029.466
1.399127483,1.172649,335.9969,180.0676,0.3227133,-0.006703763,0.5873296,-25.49545,0.002904177,-35.07941,1029.466
1.419294834,24.8818,310.7608,168.2291,0.3358083,0.01690804,0.6337156,-17.31016,-0.5250378,-40.8302,1029.464
1.439462662,74.02889,259.3271,153.5225,0.2859595,0.0335383,0.7256163,-17.31016,-0.5250378,-40.8302,1029.464
1.459630489,57.42013,221.2325,113.7964,0.153621,0.1001431,0.869508,-4.873062,-1.849747,-43.30898,1029.462
1.479797840,21.85641,219.7304,59.30278,0.0239007,0.02788312,0.8009995,-4.873062,-1.849747,-43.30898,1029.462
1.499965668,19.8189,231.2068,54.11581,-0.1617047,0.04642601,0.9340581,4.912993,-5.075776,-43.17042,1029.461
1.520132542,-0.4326576,207.8934,89.57025,-0.03135965,0.1267648,1.217476,4.912993,-5.075776,-43.17042,1029.461
1.540300369,2.160531,128.039,95.55051,0.04690963,0.0936127,1.323627,4.912993,-5.075776,-43.17042,1029.461
1.560467720,12.28631,71.37787,49.96624,-0.04464467,0.04143159,1.410072,13.49226,-9.16367,-41.27129,1029.461
1.580635548,-31.92137,71.37787,4.870141,-0.08603807,0.1459808,1.43102,13.49226,-9.16367,-41.27129,1029.462
1.600803375,-79.8336,77.38647,18.60035,0.05686349,0.3093577,1.458093,17.46036,-12.12103,-40.33965,1029.462
1.620970726,-63.22486,17.18023,82.12543,0.3097475,0.2642634,1.626246,17.46036,-12.12103,-40.33965,1029.462
1.641138554,17.96663,-48.91444,100.6765,0.231126,0.2409015,1.480759,17.46036,-12.12103,-40.33965,1029.462
1.661305904,91.19332,-144.3912,45.57257,0.1228677,0.1942054,1.424923,19.34753,-11.72914,-39.40255,1029.464
1.678952217,142.0692,-177.018,-4.283329,0.1693043,0.1959683,1.384076,19.34753,-11.72914,-39.40255,1029.464
1.699120045,170.903,-175.3355,4.381956,0.2465828,0.2838777,1.296909,17.08451,-12.50994,-39.90315,1029.464
1.719288349,206.0963,-179.5416,35.74785,0.2949163,0.3563229,1.194371,17.08451,-12.50994,-39.90315,1029.464
1.739455223,237.5232,-213.1898,55.33627,0.3583879,0.371152,1.094498,17.08451,-12.50994,-39.90315,1029.464
1.759623051,293.0916,-242.9925,43.31472,0.2508493,0.4339803,0.981181,11.07002,-18.32852,-38.68089,1029.464
1.779790401,329.2727,-263.8423,6.944928,0.202633,0.5209849,0.9443097,11.07002,-18.32852,-38.68089,1029.464
1.799958229,313.8988,-244.1942,-33.51341,0.1031452,0.4785448,0.8683233,3.145119,-26.19615,-32.65092,1029.464
1.820126057,287.8434,-211.3872,-51.45421,0.232385,0.4072514,0.6524227,3.145119,-26.19615,-32.65092,1029.464
1.840293407,266.9127,-223.3443,-43.46018,0.252409,0.4472552,0.5799909,-4.425483,-36.68285,-23.06038,1029.464
1.860461235,215.1724,-218.237,-32.59806,0.1351935,0.4916474,0.5415277,-4.425483,-36.68285,-23.06038,1029.464
1.880628586,187.8822,-209.7048,-36.07638,0.05801084,0.4774835,0.3542603,-4.425483,-36.68285,-23.06038,1029.458
1.900796413,169.7916,-197.3871,-64.75726,-0.008677685,0.4211845,0.3152249,-7.790348,-43.35098,-12.89352,1029.458
1.920963287,130.3999,-171.4299,-92.58381,0.04476332,0.3092496,0.2285258,-7.790348,-43.35098,-12.89352,1029.458
