Time (s),Roll (deg),Pitch (deg),Yaw (deg)
9.319938660,-67.03201,1.630475,-49.57745
9.340106010,-61.54192,3.479037,-47.52944
9.360272884,-55.87127,4.493257,-45.45112
9.380440712,-50.24798,4.763657,-44.09125
9.400608063,-45.23353,4.950036,-42.92968
9.420775890,-40.87931,5.613537,-41.47932
9.440943241,-37.12345,6.31123,-39.68322
9.461111069,-33.75544,6.594101,-37.3976
9.481278419,-30.6606,6.196672,-34.8894
9.501446247,-27.91638,5.16888,-32.14647
9.521613121,-25.85492,3.699512,-29.1256
9.539259910,-24.29098,1.981865,-26.39539
9.559427738,-22.30029,-0.8222276,-23.31993
9.579595089,-20.53213,-4.051766,-20.56681
9.599762916,-19.20962,-7.311903,-17.99051
9.619930267,-18.45684,-10.43813,-15.42443
9.640098095,-18.27842,-13.48628,-12.96138
9.660264969,-18.61977,-16.554,-10.48437
9.680432320,-18.92857,-19.72226,-8.365593
9.700600147,-19.40174,-22.93619,-6.359992
9.720767498,-20.17102,-26.17191,-4.417004
9.740935326,-21.39273,-29.49941,-2.606274
9.761102676,-23.19052,-33.05487,-0.7632043
9.781270504,-25.05636,-36.49074,0.7867283
9.801437378,-27.03574,-39.91848,2.185517
9.821605682,-29.02954,-43.62817,3.520243
9.839251995,-31.0901,-47.02861,4.664413
9.859419346,-33.4864,-51.04792,5.604389
9.879587173,-35.70808,-55.06911,5.990892
9.899754524,-38.07577,-59.24095,6.131772
9.919921398,-40.64497,-63.5751,6.144533
9.940089226,-42.77291,-68.19425,5.61355
9.960256577,-44.3668,-72.988,4.146906
9.980424404,-43.43369,-77.7774,-0.2227342
10.000591755,-34.40727,-82.53785,-13.30988
10.020759583,54.04025,-84.74338,-103.7889
10.040926933,102.0757,-81.66091,-152.5838
10.061094761,108.5426,-77.00835,-161.3837
10.081261635,110.6767,-72.18382,-165.6916
10.101429939,111.9206,-67.34775,-168.6953
10.121596813,112.8158,-62.45109,-171.36
10.139243603,112.808,-58.12082,-173.7791
10.159411430,111.843,-53.08789,-176.3928
10.179578781,110.4281,-48.04025,-178.5927
10.199745655,108.9268,-43.1776,179.2563
10.219913483,107.1368,-38.73755,177.0403
10.240080833,104.746,-34.79451,174.6539
10.260248661,101.6403,-31.51333,172.2761
10.280416012,98.09112,-28.89062,169.9904
10.300583839,94.22144,-27.06071,167.8569
10.320751190,90.25294,-25.94842,166.032
10.340919018,86.04031,-24.97379,164.4625
10.361085892,81.83553,-23.66188,162.9144
10.381253242,78.02227,-22.38267,161.1302
10.401421070,74.78062,-21.43467,159.3358
10.421588421,71.71002,-20.76838,157.6878
10.439234733,68.84727,-20.344,156.4371
10.459403038,65.74257,-19.88729,155.219
10.479569912,62.82196,-19.48216,153.9821
10.499737739,60.62502,-19.17284,152.4491
10.519905090,59.14346,-19.31792,150.5701
10.540072918,57.40158,-20.00746,148.6929
10.560240269,55.62233,-21.08195,146.7593
10.580407619,54.29997,-22.5914,144.7333
10.600575447,53.03379,-24.46033,142.7881
10.620742321,51.9086,-26.77327,140.9646
10.640910149,50.50365,-29.85339,139.348
10.661077499,48.49345,-33.97875,138.0297
10.681245327,45.63822,-39.37011,136.8842
10.701412678,42.54604,-45.93178,135.6633
10.721580505,39.48329,-53.43179,134.4756
