Time (s),X (g),Y (g),Z (g)
2.281459332,-0.1186321,0.37324,-0.09012124
2.301627159,-0.0987155,0.3665237,-0.03895381
2.321794987,-0.04776096,0.2832344,0.06782353
2.339441776,0.003018424,0.261752,-0.01029223
2.359608650,0.0198679,0.332594,0.09838104
2.379776478,0.01675069,0.4652454,0.09058291
2.399943828,0.1151828,0.6158641,0.144277
2.420111656,0.1612614,0.7454537,0.118504
2.440279484,0.207796,0.7879701,0.1003879
2.460446834,0.2617165,0.6302463,0.0327391
2.480614662,0.1270678,0.5040467,-0.05091262
2.500782013,0.1040734,0.3967646,-0.06122917
2.520949840,0.1237665,0.3435217,-0.02789676
2.541117191,0.1001674,0.3247818,-0.06908852
2.561285019,0.1099997,0.3456696,0.004618526
2.581452846,0.2094515,0.2788026,0.01434439
2.601619720,0.04968788,0.4125577,0.0256151
2.621788025,-0.01445142,0.5187171,-0.04710358
2.639434338,0.03761151,0.4237335,-0.03906733
2.659601688,0.1066305,0.3081497,-0.06608051
2.679769516,0.2933366,0.1855323,-0.08104736
2.699937344,0.07455701,0.1788706,0.03398573
2.720104694,-0.0001920238,0.2917881,0.06056416
2.740272522,0.08652727,0.1852958,0.01959139
2.760439396,0.1305799,0.1741814,0.06471533
2.780607700,0.0884859,0.179895,0.1324518
2.800774574,0.06755502,0.1752766,0.07681537
2.820942402,0.007876903,0.6272076,0.6928443
2.841110229,-0.03667487,0.07554615,0.0614962
2.861277580,-0.03061028,0.03528935,0.00825268
2.881445408,-0.006871551,0.04302186,0.01719445
2.901612759,-0.04968455,0.1131617,0.09362519
2.921780586,-0.005377248,0.08968419,0.05774689
2.939427376,-0.1218696,0.07518393,0.06873673
2.959595203,-0.1578367,0.1119899,0.03883028
2.979762077,-0.1899141,0.009422898,0.1484458
2.999929905,-0.1512062,-0.1698155,0.1071401
3.020097256,-0.1035686,-0.2747318,0.097965
3.040265083,-0.16397,-0.3384536,0.5294973
3.060432434,-0.05432022,-0.269424,0.4312519
3.080600262,-0.2583883,-0.09936529,0.2578437
3.100768089,-0.2663229,-0.04489306,0.2734398
3.120935440,-0.1933039,-0.2334509,0.3033752
3.141103268,-0.2869479,-0.2877358,0.285525
3.161270618,-0.3549516,-0.1607338,-0.01739013
3.181438446,-0.2397418,-0.114531,0.2639365
3.201605320,-0.2200774,-0.07742121,0.1849216
3.221773624,-0.3156499,-0.01692037,0.1245533
3.239419937,-0.3009466,-0.0861789,0.08584863
3.259587765,-0.4064493,-0.1395257,0.04614943
3.279755116,-0.4257374,-0.1786077,0.01964742
3.299922943,-0.3902755,-0.4461262,0.08124483
3.320090294,-0.5044709,-0.1973781,-0.0794965
3.340258121,-0.4995128,-0.3114173,-0.0811837
3.360425949,-0.561488,-0.3631297,-0.04367945
3.380593300,-0.5205543,-0.3095772,-0.1240202
3.400761127,-0.502271,-0.2252295,-0.08145389
3.420928001,-0.3894547,-0.2302167,-0.02942228
3.441095829,-0.3571029,-0.1881812,0.0273045
3.461263180,-0.3355966,-0.1071813,0.08633336
3.481431007,-0.2952817,-0.04545885,0.1417414
3.501598358,-0.284584,-0.09429306,0.5831216
3.521766186,-0.2363381,0.1221034,0.2030849
3.539412975,-0.1063378,0.2090074,0.1163954
3.559580803,-0.05959466,0.1891825,0.1322113
3.579747677,-0.07297104,0.2153583,0.1167278
3.599915504,-0.09095663,0.2440816,0.1376637
3.620082855,-0.1235649,0.2832072,0.07999951
3.640250683,-0.1221766,0.1898654,0.07768941
3.660418510,-0.1355355,0.1020314,0.1284699
3.680585861,-0.1425172,0.1211085,0.1131921
3.700753689,-0.1649688,0.1289053,0.1022919
3.720921040,-0.2511523,0.125868,0.08183616
3.741088867,-0.2972648,0.1330261,0.07834995
3.761256218,-0.3065612,0.1330435,0.1122848
3.781424046,-0.3145097,0.1313478,0.07107031
3.801591873,-0.3085981,0.1176839,0.08411163
3.821758747,-0.3015234,0.1756737,0.1347804
3.839405537,-0.2981642,0.2721469,0.1257661
3.859573364,-0.3214139,0.4296883,0.1155903
3.879740715,-0.3063904,0.5628176,0.1422355
3.899908543,-0.3200122,0.6981628,0.13822
3.920076370,-0.3301885,0.7859957,0.1641675
3.940243721,-0.1843488,0.7521496,0.1735624
3.960411549,-0.08733076,0.7044336,0.09682196
3.980578423,-0.135825,0.778878,0.1659824
4.000746727,-0.06458372,0.6985299,0.1636468
4.020913601,-0.05702174,0.6655614,0.1684965
4.041081429,-0.1320269,0.6292273,0.2311563
4.061249256,-0.1091831,0.608351,0.1921206
4.081416607,-0.09139687,0.602546,0.2319584
4.101584435,-0.07458088,0.6052277,0.2231482
4.121751785,-0.06218323,0.5407588,0.2718382
4.139398098,-0.04540074,0.4103751,0.3055922
4.159566402,0.04178083,0.3029119,0.3761137
4.179733276,0.1717556,0.2213688,0.5138898
4.199901104,0.1264761,0.2076169,0.5050247
4.220068932,0.1428472,0.187917,0.3875012
4.240236282,0.06725501,0.2143926,0.3540912
4.260404110,-0.02069371,0.1868902,0.4040929
4.280571461,-0.1413273,0.03302181,0.3443705
4.300739288,-0.2613161,0.008713305,0.3599641
4.320906639,-0.4360648,-0.04358935,0.3366787
4.341074467,-0.4113587,-0.1916865,0.2740248
4.361241817,-0.4768009,-0.3333336,0.1942669
4.381409645,-0.2748232,-0.3570206,0.221385
4.401577473,-0.1553255,-0.226119,0.2783932
4.421744346,-0.1241826,-0.08836097,0.2808268
4.439391136,-0.1396759,-0.001669049,0.266901
4.459558964,-0.1851961,-0.003446281,0.2278451
4.479726314,0.1779532,-0.3453155,0.7133272
4.499894142,-0.2843694,-0.1929583,0.04047596
4.520061493,-0.3055571,-0.0761953,-0.07144189
4.540229320,-0.2124611,-0.07891852,0.1534194
4.560397148,-0.3963639,-0.1638971,0.13016
4.580564022,-0.3624672,-0.2932563,0.1605582
4.600732326,-0.3130997,-0.3548905,0.1843188
4.620899200,-0.2558472,-0.2944077,0.08328837
4.641067028,-0.1954859,-0.2708553,0.1472401
4.661234379,-0.314178,-0.2287006,0.1143293
4.681402206,-0.4206692,-0.1954713,0.05792648
4.701569557,-0.465258,-0.2356499,0.06404066
4.721737385,-0.4426822,-0.2007158,0.1170741
4.739383697,-0.3921712,-0.2500633,0.07576749
4.759552002,-0.3607995,-0.104837,0.1185102
4.779718876,-0.3520159,-0.1223295,0.2964661
4.799886703,-0.3647333,0.08607328,0.1318414
4.820054054,-0.3463757,0.06068707,0.09392592
4.840221882,-0.3550068,0.04739684,0.08291861
4.860389233,-0.329991,-0.03465021,0.05777654
4.880557060,-0.3151794,-0.08612192,0.003411591
4.900724888,-0.2575192,-0.1525953,-0.05740127
4.920892239,-0.2415009,-0.01056695,-0.01690708
4.941060066,0.02690697,-0.2944022,0.1411142
4.961227417,0.125779,-0.2602816,0.1055822
4.981395245,0.1148832,-0.1804909,0.1130421
5.001562119,0.1975083,-0.0569548,0.1599824
5.021729946,0.2663838,-0.03905499,0.2629691
5.039376736,0.1588807,0.01731765,0.2959954
5.059544563,-0.04520599,0.2207614,0.2478088
5.079711914,-0.0595232,0.242623,0.2226946
5.099879742,-0.1095003,0.1659641,0.2197903
5.120047092,-0.1334105,0.07024407,0.1871951
5.140214920,-0.2046441,0.06649268,0.1446863
5.160381794,-0.2361399,0.07248139,0.100996
5.180549622,-0.1685284,-0.04316378,0.1377211
5.200716972,-0.1893948,-0.09451205,0.1535174
5.220884800,-0.3141248,-0.06916028,0.1864161
5.241052151,-0.2863047,-0.05512017,0.160674
5.261219978,-0.2494758,-0.07071465,0.1984854
5.281387329,-0.1688301,-0.08897102,0.279246
5.301555157,-0.1490505,-0.01094902,0.3054447
