Time (s),W,X,Y,Z
3.481431007,0.7572754,-0.4508225,0.38626,0.2659396
3.499077797,0.7482114,-0.4534667,0.3769651,0.2984503
3.519245624,0.742744,-0.4417756,0.3620293,0.3445693
3.539412975,0.7313077,-0.4260453,0.3473108,0.3995965
3.559580803,0.7154343,-0.41738,0.3346676,0.4456153
3.579747677,0.6968293,-0.4099319,0.3247957,0.4873605
3.599915504,0.6735466,-0.4027767,0.3195338,0.5278557
3.620082855,0.6476769,-0.3938621,0.3180327,0.5664539
3.640250683,0.620767,-0.3822713,0.3200277,0.6022681
3.660418510,0.5938441,-0.3673756,0.3241967,0.6355379
3.680585861,0.5690851,-0.3465831,0.3292764,0.6665036
3.700753689,0.5447432,-0.3170286,0.3344963,0.698203
3.720921040,0.5183003,-0.2832923,0.3392045,0.729848
3.741088867,0.4890297,-0.2483748,0.3436548,0.7600585
3.761256218,0.4604413,-0.2125669,0.3453304,0.7875173
3.781424046,0.4348342,-0.1749629,0.3415996,0.8125542
3.799070358,0.4143101,-0.1397763,0.3333098,0.8332718
3.819238186,0.3956923,-0.09438149,0.31542,0.8553697
3.839405537,0.382276,-0.03919368,0.2860686,0.8758545
3.859573364,0.3718324,0.02283783,0.2483567,0.8922809
3.879740715,0.3657689,0.08661257,0.2042146,0.9020172
3.899908543,0.3648846,0.151393,0.15548,0.9035446
3.920076370,0.3647443,0.2157861,0.1062288,0.8976306
3.940243721,0.3626541,0.2769266,0.0640288,0.8856193
3.960411549,0.3620701,0.3338441,0.02643748,0.8679757
3.980578423,0.367063,0.3886751,-0.007149648,0.8430733
4.000746727,0.3771953,0.441002,-0.0408336,0.8112959
4.020913601,0.3956933,0.4877898,-0.07405475,0.7724191
4.041081429,0.4199173,0.5251431,-0.1067303,0.7301577
4.061249256,0.4460314,0.5564812,-0.1387924,0.6846523
4.081416607,0.4736496,0.5821061,-0.1691101,0.6362687
4.101584435,0.5031022,0.6007092,-0.1954108,0.5869231
4.119231224,0.5306346,0.611609,-0.2124571,0.5439216
4.139398098,0.5640054,0.617755,-0.2235798,0.4969065
4.159566402,0.5982482,0.6171501,-0.2279164,0.4537691
4.179733276,0.6322861,0.6139128,-0.2290608,0.4092481
4.199901104,0.6634338,0.6082522,-0.2253243,0.368431
4.220068932,0.6923865,0.600661,-0.2135427,0.332918
4.240236282,0.7216611,0.59163,-0.1950358,0.2962564
4.260404110,0.7530077,0.5788678,-0.1734647,0.2538284
4.280571461,0.785012,0.5629768,-0.150005,0.2023342
4.300739288,0.8149578,0.5434932,-0.1251764,0.1463464
4.320906639,0.8410842,0.5197562,-0.1012687,0.09382441
4.341074467,0.8634495,0.4926983,-0.07950613,0.04482863
4.361241817,0.8792629,0.468725,-0.06158138,0.005378927
