Time (s),Percentage (%),Time To Empty (minutes),Voltage (V),Current (mA),Is Charger Connected (Boolean)
2.644183636,100.0234,15372286728.0913,4.159375,0,1
2.644183636,100.0234,15372286728.0913,4.159375,0,1
2.644183636,100.0234,15372286728.0913,4.159375,0,1
2.819488525,100.0234,15372286728.0913,4.159375,0.3125,1
2.819488525,100.0234,15372286728.0913,4.159375,0.3125,1
2.819488525,100.0234,15372286728.0913,4.159375,0.3125,1
2.819488525,100.0234,15372286728.0913,4.159375,0.3125,1
2.995284081,100.0234,15372286728.0913,4.16,0,1
2.995284081,100.0234,15372286728.0913,4.16,0,1
2.995284081,100.0234,15372286728.0913,4.16,0,1
3.171105862,100.0234,15372286728.0913,4.16,1.25,1
3.171105862,100.0234,15372286728.0913,4.16,1.25,1
3.171105862,100.0234,15372286728.0913,4.16,1.25,1
3.171105862,100.0234,15372286728.0913,4.16,1.25,1
3.347067833,100.0234,15372286728.0913,4.16,0,1
3.347067833,100.0234,15372286728.0913,4.16,0,1
3.347067833,100.0234,15372286728.0913,4.16,0,1
3.522715568,100.0234,15372286728.0913,4.16,-0.3125,1
3.522715568,100.0234,15372286728.0913,4.16,-0.3125,1
3.522715568,100.0234,15372286728.0913,4.16,-0.3125,1
3.522715568,100.0234,15372286728.0913,4.16,-0.3125,1
3.698492527,100.0234,15372286728.0913,4.159375,-0.3125,1
3.698492527,100.0234,15372286728.0913,4.159375,-0.3125,1
3.698492527,100.0234,15372286728.0913,4.159375,-0.3125,1
3.874319553,100.0234,15372286728.0913,4.160625,-0.625,1
3.874319553,100.0234,15372286728.0913,4.160625,-0.625,1
3.874319553,100.0234,15372286728.0913,4.160625,-0.625,1
3.874319553,100.0234,15372286728.0913,4.160625,-0.625,1
4.050209045,100.0234,15372286728.0913,4.159375,-1.25,1
4.050209045,100.0234,15372286728.0913,4.159375,-1.25,1
4.050209045,100.0234,15372286728.0913,4.159375,-1.25,1
4.225889683,100.0234,15372286728.0913,4.159375,0.3125,1
4.225889683,100.0234,15372286728.0913,4.159375,0.3125,1
4.225889683,100.0234,15372286728.0913,4.159375,0.3125,1
4.225889683,100.0234,15372286728.0913,4.159375,0.3125,1
4.401691437,100.0234,15372286728.0913,4.159375,0.3125,1
4.401691437,100.0234,15372286728.0913,4.159375,0.3125,1
4.401691437,100.0234,15372286728.0913,4.159375,0.3125,1
4.577617645,100.0234,15372286728.0913,4.160625,0.9375,1
4.577617645,100.0234,15372286728.0913,4.160625,0.9375,1
4.577617645,100.0234,15372286728.0913,4.160625,0.9375,1
4.577617645,100.0234,15372286728.0913,4.160625,0.9375,1
4.753423691,100.0234,15372286728.0913,4.159375,0,1
4.753423691,100.0234,15372286728.0913,4.159375,0,1
4.753423691,100.0234,15372286728.0913,4.159375,0,1
4.929100037,100.0234,15372286728.0913,4.159375,-1.25,1
4.929100037,100.0234,15372286728.0913,4.159375,-1.25,1
4.929100037,100.0234,15372286728.0913,4.159375,-1.25,1
4.929100037,100.0234,15372286728.0913,4.159375,-1.25,1
5.104918480,100.0234,15372286728.0913,4.15875,-0.3125,1
5.104918480,100.0234,15372286728.0913,4.15875,-0.3125,1
5.104918480,100.0234,15372286728.0913,4.15875,-0.3125,1
5.280843735,100.0234,15372286728.0913,4.160625,1.5625,1
5.280843735,100.0234,15372286728.0913,4.160625,1.5625,1
5.280843735,100.0234,15372286728.0913,4.160625,1.5625,1
5.280843735,100.0234,15372286728.0913,4.160625,1.5625,1
5.456617355,100.0234,15372286728.0913,4.159375,-0.3125,1
5.456617355,100.0234,15372286728.0913,4.159375,-0.3125,1
5.456617355,100.0234,15372286728.0913,4.159375,-0.3125,1
5.632330418,100.0234,15372286728.0913,4.15875,-0.3125,1
5.632330418,100.0234,15372286728.0913,4.15875,-0.3125,1
5.632330418,100.0234,15372286728.0913,4.15875,-0.3125,1
5.632330418,100.0234,15372286728.0913,4.15875,-0.3125,1
5.808077812,100.0234,15372286728.0913,4.15875,-1.5625,1
5.808077812,100.0234,15372286728.0913,4.15875,-1.5625,1
5.808077812,100.0234,15372286728.0913,4.15875,-1.5625,1
5.808077812,100.0234,15372286728.0913,4.15875,-1.5625,1
5.984371662,100.0234,15372286728.0913,4.158125,0.3125,1
5.984371662,100.0234,15372286728.0913,4.158125,0.3125,1
5.984371662,100.0234,15372286728.0913,4.158125,0.3125,1
6.159672260,100.0234,15372286728.0913,4.160625,0.3125,1
6.159672260,100.0234,15372286728.0913,4.160625,0.3125,1
6.159672260,100.0234,15372286728.0913,4.160625,0.3125,1
6.159672260,100.0234,15372286728.0913,4.160625,0.3125,1
6.335475445,100.0234,15372286728.0913,4.15875,-0.3125,1
6.335475445,100.0234,15372286728.0913,4.15875,-0.3125,1
6.335475445,100.0234,15372286728.0913,4.15875,-0.3125,1
6.511303425,100.0234,15372286728.0913,4.15875,0.625,1
6.511303425,100.0234,15372286728.0913,4.15875,0.625,1
6.511303425,100.0234,15372286728.0913,4.15875,0.625,1
6.511303425,100.0234,15372286728.0913,4.15875,0.625,1
6.687244892,100.0234,15372286728.0913,4.159375,1.5625,1
6.687244892,100.0234,15372286728.0913,4.159375,1.5625,1
6.687244892,100.0234,15372286728.0913,4.159375,1.5625,1
6.862932205,100.0234,15372286728.0913,4.158125,0.9375,1
