Time (s),Humidity (%)
12.980339050,14.11621
13.030757904,14.50879
13.081176281,14.49707
13.129074097,14.42578
13.182013989,14.08008
13.229911327,14.06836
13.280330658,13.81836
13.330749035,14.4375
13.381167888,13.90137
13.429065704,13.31738
13.482005119,13.98438
13.529902935,14.13965
13.580321789,13.28223
13.630740166,15.00879
13.681158543,14.29395
13.729056835,13.21094
13.781996250,14.48438
13.829894543,14.58008
13.880312920,12.8291
13.930731297,14.04395
13.981150150,14.43652
14.029047966,13.87695
14.081987381,13.84082
14.129885197,14.6748
14.180303574,15.55566
14.230722427,14.63867
14.281140804,13.60254
14.329038620,14.67383
14.381978512,13.42383
14.429875851,13.4834
14.480295181,13.50684
14.530713558,13.18555
14.581131935,13.43555
14.629029274,14.10254
14.681969166,14.4834
14.729866981,13.28027
14.780285835,12.78027
14.830704212,14.25684
14.881123066,14.6377
14.929020405,14.25586
14.981959820,13.57715
