Time (s),XX,XY,XZ,YX,YY,YZ,ZX,ZY,ZZ
1.560467720,0.9677835,0.1474319,-0.1684839,-0.1794319,0.9577351,-0.1932441,0.1338924,0.2186389,0.9597147
1.580635548,0.9738793,0.1350574,-0.1414413,-0.1611156,0.9611919,-0.1921575,0.1108508,0.2112871,0.9642726
1.600803375,0.9781829,0.1320147,-0.1113031,-0.1501343,0.9664477,-0.1737114,0.08529919,0.1878512,0.9716676
1.620970726,0.9820205,0.1151971,-0.09485374,-0.1287165,0.9732983,-0.1510399,0.07549611,0.1615878,0.9771664
1.641138554,0.9852237,0.07754105,-0.09965709,-0.0915352,0.9785362,-0.1440249,0.08697966,0.1520173,0.9777452
1.661305904,0.9826599,0.04633889,-0.1373284,-0.06872249,0.9775217,-0.1624504,0.1276072,0.1701929,0.9702892
1.681473732,0.973287,0.03209159,-0.1958907,-0.07231946,0.9700744,-0.2010918,0.1848593,0.2112775,0.9528993
1.699120045,0.9613429,0.01996419,-0.2493826,-0.08299892,0.9593525,-0.2440039,0.2360114,0.2569594,0.9301887
1.719288349,0.9443785,-0.007728372,-0.3081806,-0.09061952,0.9419401,-0.3023891,0.2946576,0.315581,0.8948772
1.739455223,0.9206662,-0.05076399,-0.3699208,-0.09690344,0.9175665,-0.3684385,0.3605941,0.3775715,0.8455548
1.759623051,0.8866258,-0.1069497,-0.4355807,-0.1109562,0.8819224,-0.4440805,0.4345773,0.4450624,0.775298
1.779790401,0.8446293,-0.165693,-0.4966938,-0.1471076,0.8285646,-0.5286834,0.502512,0.5231563,0.6800419
1.799958229,0.8014581,-0.2211039,-0.5446343,-0.1973024,0.764868,-0.6034435,0.5537014,0.5951347,0.5732515
1.820126057,0.765528,-0.2680384,-0.5746424,-0.2508498,0.6975609,-0.6625957,0.5823511,0.6558309,0.4699344
1.840293407,0.7281924,-0.312457,-0.6003751,-0.3086379,0.6294118,-0.7054031,0.6023473,0.7037197,0.3643543
1.860461235,0.6907096,-0.3559473,-0.6203371,-0.3622556,0.5670067,-0.7326015,0.6166745,0.7356873,0.2644769
1.880628586,0.654952,-0.3915056,-0.6376514,-0.4138816,0.5136588,-0.7447468,0.6233603,0.756749,0.1755683
1.900796413,0.622368,-0.4178488,-0.6535423,-0.4697499,0.4607061,-0.74648,0.6172926,0.7767237,0.09105428
1.920963287,0.599057,-0.4311642,-0.6666658,-0.5244671,0.4087832,-0.7404925,0.5960538,0.798431,0.01886586
1.941131592,0.5875114,-0.4220093,-0.6826649,-0.5711515,0.3710753,-0.7258385,0.5638343,0.8215618,-0.02321546
1.961299419,0.5756168,-0.3994606,-0.7060239,-0.6198781,0.3382688,-0.7016404,0.5232491,0.8467463,-0.05335126
1.981466293,0.5655441,-0.3616431,-0.7340403,-0.6554039,0.3305298,-0.6724744,0.4899456,0.866597,-0.05059143
2.001634121,0.5465135,-0.3100761,-0.771197,-0.6881906,0.3453534,-0.6309125,0.4661391,0.8806303,-0.0250777
2.019280910,0.5270487,-0.2643013,-0.8012898,-0.7190757,0.3501837,-0.5926173,0.4414189,0.8935379,-0.005899899
2.039448261,0.4964697,-0.2238808,-0.8326476,-0.7627344,0.3306233,-0.5476769,0.4020709,0.9119161,-0.007201783
2.059616089,0.4615142,-0.1949741,-0.8597279,-0.8087815,0.289,-0.503644,0.3507412,0.9326145,-0.02521747
2.079783916,0.4202681,-0.1733929,-0.8852853,-0.8521345,0.2407119,-0.4555833,0.2960777,0.9505914,-0.04787259
2.099951267,0.3750013,-0.15383,-0.9090852,-0.8898848,0.1928242,-0.4035816,0.2412562,0.9649401,-0.06623979
2.120119095,0.322489,-0.1310222,-0.9326919,-0.923117,0.1480574,-0.3437886,0.1869116,0.9763037,-0.07521838
2.140285969,0.2643517,-0.1070619,-0.9540062,-0.9503906,0.1068146,-0.2790752,0.1354543,0.9847146,-0.07586789
2.160453796,0.2047218,-0.08477047,-0.9709673,-0.9708825,0.0659346,-0.2141269,0.08573559,0.9905944,-0.07148188
2.180621147,0.1504436,-0.06302366,-0.9826672,-0.9836686,0.03199747,-0.1562414,0.04475483,0.9940037,-0.06011784
2.200788975,0.1037205,-0.03527534,-0.990229,-0.9906096,0.01507378,-0.1077912,0.02214292,0.9958323,-0.03645259
2.220956802,0.06808257,0.01780626,-0.9939032,-0.9937886,0.02130324,-0.07100475,0.02333969,0.9961629,0.01615223
2.241124153,0.01956731,0.0929442,-0.9920191,-0.9956246,0.03697667,-0.01924264,0.03836787,0.9914635,0.09040707
2.261291981,-0.02956036,0.1864023,-0.9786901,-0.9943194,0.05317852,0.0373767,0.06252405,0.9774058,0.181112
2.281459332,-0.06552735,0.3091669,-0.94542,-0.9898851,0.07037282,0.08919403,0.09762534,0.9445866,0.2991037
2.301627159,-0.09882568,0.4375083,-0.8903604,-0.9833786,0.07287899,0.1428941,0.1308499,0.89221,0.4210166
2.319273472,-0.1172927,0.5526066,-0.8215318,-0.9780291,0.06252977,0.1799508,0.1541025,0.8267704,0.5313888
2.339441776,-0.1289512,0.6823489,-0.7154691,-0.9731762,0.03855637,0.210799,0.1744257,0.7251952,0.657637
2.359608650,-0.1267831,0.7976865,-0.5845786,-0.9707173,0.01154283,0.2252812,0.1890607,0.5972769,0.7717288
2.379776478,-0.1158431,0.8926913,-0.4286239,-0.9704376,-0.0168501,0.2265723,0.1971474,0.4429293,0.8673812
2.399943828,-0.09325329,0.959286,-0.254868,-0.9718662,-0.03643669,0.2182859,0.2016518,0.2682219,0.9350618
2.420111656,-0.06038964,0.9917133,-0.08074696,-0.9736152,-0.04230415,0.2093419,0.2051554,0.09085896,0.9676691
2.440279484,-0.02761038,0.9938718,0.06998194,-0.9741856,-0.04169077,0.2067856,0.2089045,-0.06337713,0.9690513
2.460446834,0.006497797,0.9792492,0.1850411,-0.974344,-0.03276148,0.2075009,0.2093393,-0.1829588,0.9536907
2.480614662,0.04356464,0.9580914,0.2704148,-0.9735213,-0.0157969,0.2129987,0.208134,-0.2741767,0.9319211
2.500782013,0.07948562,0.9363754,0.331063,-0.9718933,0.004664282,0.2205132,0.2045123,-0.3411797,0.9104323
2.520949840,0.1159868,0.9130678,0.3812184,-0.9696565,0.02813989,0.2281227,0.1969426,-0.3982224,0.8887596
2.541117191,0.1532148,0.8856224,0.4294414,-0.9670834,0.05420779,0.2338819,0.183021,-0.4534578,0.8650433
2.561285019,0.1930639,0.853863,0.4749712,-0.9636558,0.08590974,0.2380402,0.1613916,-0.5061754,0.8398395
2.581452846,0.2385634,0.8126516,0.5237666,-0.9576346,0.1238203,0.2449998,0.1329285,-0.5627489,0.8083608
2.601619720,0.2872829,0.7624151,0.5722843,-0.948669,0.1690343,0.2521302,0.09387878,-0.6182765,0.772635
2.619266510,0.3225881,0.7143303,0.6137983,-0.9403265,0.2069568,0.2545864,0.05293754,-0.6623898,0.7393952
2.639434338,0.3547109,0.6572801,0.6580469,-0.9300092,0.2411689,0.2618182,0.01120597,-0.7081306,0.6978351
2.659601688,0.3840046,0.6041791,0.6915003,-0.9180148,0.268849,0.2764242,-0.02130342,-0.7443985,0.658959
2.679769516,0.4156265,0.5594497,0.7104384,-0.9028473,0.2993677,0.2940778,-0.05072743,-0.767223,0.6307115
2.699937344,0.4525487,0.5197893,0.7177895,-0.8825046,0.3368393,0.3141786,-0.08116737,-0.7793214,0.6125308
2.720104694,0.4867813,0.4875004,0.7178852,-0.8609122,0.3732276,0.3320679,-0.1088394,-0.7834426,0.6029594
2.740272522,0.5193381,0.4568456,0.7150747,-0.8391973,0.3993049,0.3561809,-0.1256486,-0.7889291,0.5925044
2.760439396,0.5543398,0.4273481,0.7068223,-0.8134458,0.4287564,0.3805753,-0.1432832,-0.7898767,0.5872474
