Time (s),Gyroscope (deg/s),Accelerometer (g),Magnetometer (uT)
8.059467793,286.6318,1.414702,51.67256
8.079635620,290.7289,1.389667,51.67256
8.099802971,287.701,1.313564,49.70909
8.119970799,289.4324,1.230355,49.70909
8.140138149,297.8851,1.122144,47.49758
8.160305977,316.0809,1.039828,47.49758
8.180472851,347.2119,0.8646736,47.49758
8.200641155,320.1981,0.973388,46.47899
8.220808029,347.9415,0.8682466,46.47899
8.240975857,363.4566,0.8786483,45.7197
8.261143208,385.2859,0.7984167,45.7197
8.281311035,402.1522,0.7015667,45.7197
8.298957825,415.209,0.603149,46.7919
8.319124699,420.8712,0.6167743,46.7919
8.339292526,417.0676,0.6679019,48.47768
8.359459877,423.2169,0.5229566,48.47768
8.379627704,425.5846,0.4188011,48.47768
8.399795055,430.2851,0.3979109,49.80774
8.419962883,413.9372,0.4412707,49.80774
8.440130234,400.8904,0.5271688,50.18596
8.460297108,397.338,0.535485,50.18596
8.480465412,442.5155,0.6725963,49.94224
8.500632286,447.7556,0.8644661,49.94224
8.520800114,431.0577,1.025625,49.94224
8.540967464,411.9922,1.122721,50.61866
8.561135292,436.1603,1.285751,50.61866
8.581302643,435.7272,1.541444,53.08343
8.598948955,385.6241,1.688578,53.08343
8.619116783,292.6581,1.776278,53.08343
8.639284134,237.1992,1.883392,56.23513
8.659451961,188.5839,1.794115,56.23513
8.679619312,158.6237,1.666414,55.19525
8.699787140,173.1844,1.507594,55.19525
8.719954491,200.6997,1.383735,55.19525
8.740122318,206.1261,1.355003,53.34037
8.760289669,203.639,1.316145,53.34037
8.780457497,206.3861,1.282566,52.42597
8.800624371,215.4637,1.256346,52.42597
8.820792198,238.9399,1.232967,51.65372
8.840959549,258.257,1.209462,51.65372
8.861127377,278.0157,1.148311,51.65372
8.881294727,293.0943,1.053874,51.54038
8.898941040,304.2287,1.020175,51.54038
8.919109344,310.3457,0.9647071,50.9207
8.939276218,313.8396,0.8630083,50.9207
8.959444046,314.3624,0.8020558,50.9207
8.979611397,302.3031,0.7121691,49.71357
8.999778748,293.4999,0.6796055,49.71357
9.019946575,280.5136,0.5886511,49.16702
9.040113926,295.9795,0.5925603,49.16702
9.060281754,371.2237,0.4973447,47.68177
9.080448627,398.2075,0.4753688,47.68177
9.100616455,399.625,0.3660219,47.68177
9.120783806,411.6944,0.271803,46.68035
9.140951633,420.4373,0.3231805,46.68035
9.161118984,432.8667,0.4314618,43.48724
9.181286812,430.3795,0.6142107,43.48724
9.201454163,371.5447,1.060748,43.48724
9.219100475,312.1637,1.230574,42.57243
9.239268303,263.9701,1.256071,42.57243
9.259435654,301.6406,1.207172,44.00223
9.279603481,269.946,1.106109,44.00223
9.299770832,278.1201,1.017502,44.00223
9.319938660,291.7885,1.060948,45.9187
9.340106010,299.6615,1.178646,45.9187
9.360272884,288.1671,1.210976,49.36812
9.380440712,268.3692,1.270448,49.36812
9.400608063,237.6693,1.300548,53.41069
9.420775890,218.2567,1.273184,53.41069
